Reviewer Name,Review Date,Review Content
r***e (10),Past month,This is my 2nd refurbished Dyson and I am a hairstylist. My first one was not from this seller. It lasted me 5 years but was a little glitchy the whole time but I was happy with it. This one is by far better for the same price. It looks brand new and has more power and not cutting out on me. I will definitely keep this seller on my radar and buy from them again.
4***c (13),Past month,"It’s a brand new Dyson, so far works excellent. Iam a profesional and every single Dyson that I bought lasts only less than a year and costs 500$+ so now I though it’s worth to try a refurbished with 1 year warranty I’ll let u know more in couple of months"
t***t (140),Past month,"Great product at an even better price, was looking to get this but refused to pay full price, thanks to ebay, got what I wanted at a great price!"
6***g (1),Past month,Muy satisfecha; buen precio y no tuve que pagar por accesorios que no necesito para mi pelo corto.
c***c (4),Past month,Great product and in great condition
a***1 (689),Past month,Excellent seller! Great Dyson hairdryer. Ships fast and Excellent communication. AAA+++
k***4 (3),Past month,"Great condition, fast shipping!"
1***z (3),Past month,It matches the picture and description.
5***e (18),Past month,Couldn't be more impressed!! Thanks
h***b (224),Past month,Great
*****,Past month,Shipped so quickly. Thank you!
*****,Past year,"Great seller, packaging came super nice, great experience buying from this seller!!"
eBay automated feedback,Past 6 months,
*****,More than a year ago,Me gusto mucho hoy fue que pude retirarlo. Y lo estrene también muy bueno.
a***b (1574),Past 6 months,"All ok, it’s just a zip bag. Size is what I needed, and it’s true to advertised measurements. Arrival time and postage costs both very reasonable considering it came half way across the planet! Packaging was good simple post-pak, did its job. So all in all, perfect service. Wide Mouth Tool Bag Canvas Heavy Duty High Capacity Handbag Multi-function Bag (#167165300288)"
b***0 (804),Past year,"The item was delivered promptly, unfortunately I had a problem and the item needed to be returned as it was defective, it was a good value product, sometimes it pays to spend more in order to avoid any problems but cost doesn't mean you will have any problems, I notified the seller who replied within 2 days and I was refunded immediately they were polite and courteous, wanting me as a customer happy, sometimes this happens but it is good to have a seller who genuinely wants to solve any issues Oval Shape Stone Jewelry Bolo Tie Western Faux Leather Rope Adjustable Necktie (#167237543488)"
e***b (1069),Past year,"Arrived much earlier, well packed, as described, brand new, excellent quality, great value for money, great seller, highly recommended, thank you. Jewellery for Cross Pendant Resin Casting Mold for Cross Jewelry Mold for DIY De (#167409504941)"
j***e (738),Past year,"Quickly dispatched, well packaged, good value for money and item was as described A+++++ 5 Pcs/lot Movie Camera CCD Dust Cover Dust Caps CS Mount Interface Shading Cover (#167409549513)"
7***i (862),Past 6 months,"Good product, well described and well packed. Prompt despatch. All Good! 10Pieces/set Mini Square Storage Containers Box Clear Earplugs Storage Holder (#167409543137)"
h***t (148),Past 6 months,"Great price, item as described. Delivery amazing, well ahead of schedule. 2Pcs Door Lock Repair Plate Stainless Steel Door Reinforcement Plates Enduring (#167188505066)"
k***a (732),Past 6 months,Item well packaged and promptly sent. An easy transaction. Recommended EBayer. Beach Tote Bag Sandproof Beach Bag Large Swim Pool Beach Tote (#167167707471)
2***2 (79),Past month,"Came on time was as described LP-64 Leveler with Built-in 3 Bubble Levels for Tripod, Standard 3/8"" Screw Hole (#168131751229)"
t***t (233),Past 6 months,Delivery arrived on time and was as described. Item was well priced and worked as expected. Self Tapping Screws Torx for Head Drilling Splashguard Wheel for 20pcs (#167231166627)
l***a (4859),Past year,"Rapid dispatch. Estimated delivery was 1st August but the item was delivered rapidly, by 7th June! Great value. Tiny ear studs at around 1.5cm from snail eye to tip of tail. Too small for the project I had in mind but that is my error, not the sellers. Arrived in perfect condition and the studs are exactly as described. Lovely wishes received too- for a happy life- which made me smile. Thank you! Your kind wishes are reciprocated. Elegant Snail Earrings Adornment Fashionable Ear Rings Ear Studs Accessory Charm (#167409550800)"
s***d (276),Past 6 months,Exactly as described. They Work perfectly on my Laptop. Fast Shipment. Thanks. Recommended. 7.4x5.0mm Female To 4.5x3.0mm Male Tip Power Adapter Converter Cable For Hp (#167409517786)
0***t (283),Past year,"he universal thermal stopper was described, good quality, in new condition & is a good value replacement. the Seller's communication was very good as was the postage time. Thank you. 1 Universal Thermal Bottle Inner Cover Non Spill Vacuum Flask Insulation (#167165315955)"
0***t (283),Past year,"The universal thermal stopper was described, good quality, in new condition & is a good value replacement. the Seller's communication was very good as was the postage time. Thank you. 1 Universal Thermal Bottle Inner Cover Non Spill Vacuum Flask Insulation (#167165315955)"
c***m (41),Past 6 months,"Item as described, arrived on time. Turn Signal Flasher Relay 12V 48V 60V 2 Pin Blinker Turn Signal Relay Buzzer (#167417262268)"
t***p (2392),Past year,Wonderful seller. Sent quickly and carefully packaged. Great service and exceptional value for money. Driver Car for Seat Belt for Kid Toy 1/10 RC Model Crawler Accessories Spare Par (#167417333907)
n***t (2142),Past year,"A+. recommended seller, for me good value, item as described, fast delivery, thank you very much Funny Knit Roman Knight Helmet Hat Tassel Barbarian Earflap Skull with (#167165231593)"
n***a (77),Past 6 months,Arrived as described. Thank you. Car Vehicle Parking Ticket Permit Badges Holder Clip Sticker Windscreen Window (#167165313576)
u***o (4706),Past year,Good value for money top seller quick delivery no Small Pocket Magnify Glass 8X Folding Mini Glass for Hobbies Books (#167231165774)
l***a (2271),Past year,Never received it though Courier claimed to have delivered it. No picture proof of delivery point was available. Hence after waiting over 2 Weeks Seller refunded. Women Crochet Sleeveless Sweater Vest Waistcoat Button Down Knit Floral Cardigan (#167165293402)
2***s (1981),Past year,"😁Good seller, am happy with my purchase, price paid and delivery time. 🙏Thank you.👍 Heart Pendant Simulated Pearl Chain Choker Necklace Birthday Valentine Statement (#167409514789)"
m***5 (1045),Past year,"As described and arrived promptly, thanks 2M Wire Sleeve Guard Cover Bike Cable Protector Outer Housing Shift Gear (#167409568643)"
a***i (947),Past year,"Received today Thurs 20/3/25 Thank you. Lovely sponge, very reasonably priced - good!. Good Seller! Good Service! Fruit Shaped Soft Exfoliating Bath Sponge Exfoliate Dead Skin Removal (#167170773259)"
a***j (80),Past year,"Very nice, just like pictures and descriptions. Arrived super fast (: Angel and Devil Matching Rings for Women Open Adjustable Couple Friendship Ring (#167409514593)"
2***0 (3008),Past year,"As described, well packed, on time delivery, no problems, all good. 12 Compartments Water Resistant Fountain Pen Organizers Box for Student Adult (#167244285952)"
c***n (93),Past year,Item arrived as described. Good purchase. 100Pcs 25mm Castles Golf Tees Replacement Short Golf Tees for Golfers (#167165294782)
h***n (3038),Past year,"Despite excellent packaging, one plate was broken in transit, apparently by very rough handling by USPS. Seller promptly responded to my request for refund and remitted my cost for that plate. Second plate arrived intact and is as described. Would buy from this seller again. 2 Vtg WEDGWOOD Queen's WARE EMBOSSED PINK ON CREAM GRAPES 10 1/2"" Dinner Plates (#357295326850)"
r***b (68),Past 6 months,"shipping was very speedy, was packaged very well, got exactly what was pictured and an amazing value. would recommend seller and by for them again. PRATT & WHITNEY HOKE PRECISION GAGE BLOCK SET 1954 Incomplete (#357779243461)"
r***g (170),Past 6 months,"Great price, seller communicated well, packed and shipped quickly, coat arrived in exact condition as listing. Thanks!! Levi’s Jacket motorcycle Bomber Full Zip Snap Faux Leather Mens XXLBrown (#357796225528)"
d***- (26),Past 6 months,"Fast shipping, well packaged. Product as described, price was of good value. Bauer Youth Hockey Gloves Junior 12” 30cm Black Supreme One.2 (#358055777986)"
z***l (419),Past 6 months,"Absolutely fantastic all around. Shipping was speedy, packing was careful and thorough, the jacket was exactly as pictured and described and I am thrilled at the value for what I bought. Thank you!! Carhartt Jacket Mens XL Brown Gray Hooded Duck Active Full Zip Quilted Workwear (#357695573178)"
d***d (206),Past 6 months,Speedy delivery! Items just as described and pictured. Carefully packaged. Will buy from seller again. Lot of 2 boxes (24)) Vintage Glass Christmas Tree Ornaments Balls Green & Blue (#357998293061)
0***_ (458),Past year,The seller did good with the packaging and shipping of the BSA coins and case. They are as described. They have nice appearance and are interesting. Their quality and condition is good. The value is also good. I recommend this seller for business. Thank you for a great purchase. VTG. SET OF Boy Scouts of America JAMBOREE COINS WITH CASE (#357251401966)
u***- (56),Past 6 months,"Shipped in a timely manner, packaging was good, as described, great value. Thank you! Vintage 1998 Tiger Electronics Furby 70-800 Church Mouse NIB (#357600503031)"
h***c (2798),Past month,Fast shipping - Excellent packing - Just as described - Thank you!! Vintage Wool Cream Blanket Camp Cabin Military Style Heavy 77” x 73” (#358120238509)
v***6 (10),Past year,"Came super quick, great packaging with cute note, item was just as described, the value of the item was great!! Would definitely buy from this seller again! :) 2011 LALALOOPSY 12"" DOLL ""CORAL SEA SHELLS"" MERMAID PURPLE HAIR WITH BLUE BOW (#356729969769)"
o***o (141),Past 6 months,Great seller. Fast delivery. Perfect packaging. Highly recommended. Thank you very much. Vintage WOOL FABRIC Woven Brown Herringbone 141” x 61” (#358083681813)
r***i (1894),Past 6 months,Very nice items. As described. Well packed. Quick shipping. Pleasurable transaction. Thank you! 2 Napco Ceramic Turkey Mugs Textured Fall Thanksgiving READ (#357716056016)
r***n (97),Past 6 months,Fast shipping. Blanket is as described. Great communication. Thank you! Vintage Pink Striped Wool Camp Blanket Retro Granny Cottagecore 72” x 55” READ (#357905985907)
5***5 (222),Past 6 months,Thank you!! Packaging was excellent and shipping was really fast!! Items were exactly as described!! 2 Emeraude Cologne by COTY .375 FL OZ w/ white Cap 1 Green Cap VTG (#357654991168)
